name,features,cuisines,meals,special meals,official_description,rating,street,country,region,coords,image
Rte. Tarrida,,"Spanish, ",,,,0.0,"Villarroel, 46",Spain,Catalonia,"{'latitude': '41.3825', 'longitude': '2.16051'}",
Shalimar,"Reservations, Seating, Television, Serves Alcohol, Table Service, ","Asian, Pakistani, Indian, ","Lunch, Dinner, Late Night, ","Vegetarian Friendly, Vegan Options, ",,4.0,C/Carme 71 Martes Cerrado,Spain,Catalonia,"{'latitude': '41.380688', 'longitude': '2.167571'}",https://media-cdn.tripadvisor.com/media/photo-o/03/f4/d4/23/shalimar.jpg
Bonissim,"Seating, Table Service, Reservations, ","Spanish, ","Breakfast, Lunch, Dinner, ",,,2.5,Rambla Raval 4,Spain,Catalonia,"{'latitude': '41.379353', 'longitude': '2.168625'}",https://media-cdn.tripadvisor.com/media/photo-o/15/59/51/7c/great-outside-seating.jpg
Catafal,"Wheelchair Accessible, Seating, ","Cafe, Spanish, ","Breakfast, ",,,4.0,Via Guillem Tell 43,Spain,Catalonia,"{'latitude': '41.40199', 'longitude': '2.14807'}",https://media-cdn.tripadvisor.com/media/photo-o/12/1f/5d/2e/photo0jpg.jpg
Moltbo,"Takeout, Wheelchair Accessible, ","Mediterranean, Spanish, ","Lunch, ",,,5.0,Mercado la Boqueria,Spain,Catalonia,"{'latitude': '41.38203', 'longitude': '2.17146'}",https://media-cdn.tripadvisor.com/media/photo-o/09/a0/50/b5/photo2jpg.jpg
La Chitarra,"Reservations, Buffet, Accepts American Express, Accepts Mastercard, Accepts Visa, Takeout, Accepts Credit Cards, ","Italian, Mediterranean, ","Lunch, Dinner, ","Vegan Options, Vegetarian Friendly, ",,4.5,Calle Joan Blanques 56,Spain,Catalonia,"{'latitude': '41.40616', 'longitude': '2.15954'}",https://media-cdn.tripadvisor.com/media/photo-o/06/be/39/58/la-tienda.jpg
Arcadio's,"Reservations, Seating, Table Service, ","Spanish, Mediterranean, European, ","Lunch, Dinner, ",,NjR4X19lSXo,3.5,"Carrer de Ravella, 2",Spain,Catalonia,"{'latitude': '41.400723', 'longitude': '2.135747'}",https://media-cdn.tripadvisor.com/media/photo-o/17/c1/11/fd/dsc-6952-largejpg.jpg
La Forchetta Pizzeria Ristorante,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, ","Italian, Pizza, European, Mediterranean, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, ",Yk1XX185NHU,4.0,"Av. Meridiana, 2 Frente al parque de la Ciudadella",Spain,Catalonia,"{'latitude': '41.391792', 'longitude': '2.187108'}",https://media-cdn.tripadvisor.com/media/photo-o/07/55/c9/32/la-forchetta-pizzeria.jpg
Restaurante Dhaba,"Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Delivery, Wheelchair Accessible, Wine and Beer, ","Indian, ","Lunch, Dinner, Late Night, Drinks, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",WW5GX19NU0Q,4.5,Paseo de Manuel Girona 50,Spain,Catalonia,"{'latitude': '41.39126', 'longitude': '2.124933'}",https://media-cdn.tripadvisor.com/media/photo-o/11/50/78/ad/vista-de-la-sala-b.jpg
Lizarran,"Seating, Wheelchair Accessible, Serves Alcohol, Table Service, ","Mediterranean, European, Spanish, ","Lunch, Dinner, Brunch, ",,,3.5,Avenida Diagonal 3 C.C Diagonal del Mar,Spain,Catalonia,"{'latitude': '41.41031', 'longitude': '2.21589'}",https://media-cdn.tripadvisor.com/media/photo-o/0c/86/e8/cc/mostrador-de-pinchos.jpg
El Clot Restaurante Barcelona,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, ","Mediterranean, European, Spanish, Catalan, ","Lunch, Dinner, Brunch, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",SUlaX18ya0M,4.5,calle Aragon 600,Spain,Catalonia,"{'latitude': '41.408752', 'longitude': '2.187178'}",https://media-cdn.tripadvisor.com/media/photo-o/16/f8/62/71/restaurante-el-clot-barcelona.jpg
La Casa Del Sol,,,,,,5.0,"Placa Del Sol, 23",Spain,Catalonia,"{'latitude': '41.40141', 'longitude': '2.15658'}",
Tincset i Mes,"Seating, Table Service, ","Cafe, Mediterranean, Spanish, ","Breakfast, Lunch, Brunch, ",,,5.0,Consell de Cent 439,Spain,Catalonia,"{'latitude': '41.39741', 'longitude': '2.17396'}",https://media-cdn.tripadvisor.com/media/photo-o/0e/df/02/f4/impresionantes.jpg
Invers,"Reservations, Seating, Serves Alcohol, Table Service, Wheelchair Accessible, ","Mediterranean, Spanish, Fusion, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, ",,4.5,"Carrer Del Trobador, 22",Spain,Catalonia,"{'latitude': '41.414967', 'longitude': '2.177686'}",https://media-cdn.tripadvisor.com/media/photo-o/11/bb/0c/cf/espagetis-con-verduras.jpg
Restaurant Truiteria La Ceba,"Reservations, Seating, Table Service, Takeout, Serves Alcohol, ","Mediterranean, Spanish, ","Lunch, Dinner, ","Vegetarian Friendly, ",,4.0,"Perla, 10",Spain,Catalonia,"{'latitude': '41.40333', 'longitude': '2.157004'}",https://media-cdn.tripadvisor.com/media/photo-o/13/9e/9c/ad/photo2jpg.jpg
Tiasanta,"Reservations, Seating, Serves Alcohol, Free Wifi, Table Service, Full Bar, ","Healthy, Mediterranean, European, Spanish, ","Breakfast, Lunch, Dinner, Brunch, ","Vegetarian Friendly, Gluten Free Options, Vegan Options, ",,4.5,"Carrer de Corsega, 337 Esquina Con Pau Claris",Spain,Catalonia,"{'latitude': '41.397694', 'longitude': '2.160847'}",https://media-cdn.tripadvisor.com/media/photo-o/12/73/7a/8d/photo2jpg.jpg
Krampus,"Takeout, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, ","French, Mediterranean, European, ","Lunch, Dinner, Brunch, Late Night, ","Vegetarian Friendly, Vegan Options, ",STh5X190YUg,4.0,"Saragossa, 89",Spain,Catalonia,"{'latitude': '41.403442', 'longitude': '2.147083'}",https://media-cdn.tripadvisor.com/media/photo-o/13/53/e3/fd/terraza.jpg
Bollywood Restaurant,"Takeout, Reservations, Outdoor Seating, Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, ","Indian, Asian, ","Lunch, Dinner, Late Night, ","Vegetarian Friendly, Vegan Options, ",dTRNX19MWHc,3.5,Avinguda de les Drassanes 27 - 29,Spain,Catalonia,"{'latitude': '41.376987', 'longitude': '2.172286'}",https://media-cdn.tripadvisor.com/media/photo-o/11/31/b0/83/the-bar-section.jpg
Homo Sibaris,"Outdoor Seating, Seating, Serves Alcohol, Full Bar, Table Service, ","Bar, Spanish, ","Late Night, Drinks, ",,Step away from the tourist traps,4.0,Placa Osca 4 08014,Spain,Catalonia,"{'latitude': '41.376076', 'longitude': '2.138775'}",https://media-cdn.tripadvisor.com/media/photo-o/08/33/3e/77/photo0jpg.jpg
Dionisios,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, ","Mediterranean, European, Greek, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, ",,4.0,C/ Aribau 50,Spain,Catalonia,"{'latitude': '41.3878', 'longitude': '2.160215'}",https://media-cdn.tripadvisor.com/media/photo-o/0e/27/7c/ab/photo0jpg.jpg
Santagloria,,"Cafe, Mediterranean, ",,,,0.0,Calle de Mandri 37,Spain,Catalonia,"{'latitude': '41.40349', 'longitude': '2.13337'}",
Cafe del Gallery,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, Highchairs Available, ","Mediterranean, Spanish, European, ","Breakfast, Lunch, Dinner, Brunch, Late Night, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",,4.5,Rosellon 249,Spain,Catalonia,"{'latitude': '41.395184', 'longitude': '2.159167'}",https://media-cdn.tripadvisor.com/media/photo-o/11/c8/3f/6d/terraza-el-cafe-del-gallery.jpg
Pizzeria Lucania II,"Takeout, Seating, Serves Alcohol, Table Service, ","Pizza, ","Lunch, Dinner, ","Vegetarian Friendly, ",,4.5,"Carrer de Terol, 33",Spain,Catalonia,"{'latitude': '41.403133', 'longitude': '2.158311'}",https://media-cdn.tripadvisor.com/media/photo-o/0f/40/d4/c9/photo1jpg.jpg
O'delis,"Reservations, Outdoor Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Seating, Table Service, Accepts Credit Cards, ","Mediterranean, Spanish, Fusion, ","Lunch, Dinner, Brunch, Breakfast, ",,"Restaurant Lounge, Market and fusion food, vintage atmosphere, fresh dishes fusing different flavors of the world. Homemade desserts. In our cocktail bar",4.0,"C/ Sant Gervasi de Cassoles, 86",Spain,Catalonia,"{'latitude': '41.40613', 'longitude': '2.13565'}",https://media-cdn.tripadvisor.com/media/photo-o/09/b1/f5/af/o-delis.jpg
Bar Restaurante Guixot,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, ","Mediterranean, Spanish, European, ","Dinner, Lunch, Late Night, ","Vegetarian Friendly, Vegan Options, ",,4.5,"Riereta, 8",Spain,Catalonia,"{'latitude': '41.378536', 'longitude': '2.167773'}",https://media-cdn.tripadvisor.com/media/photo-o/15/10/3e/5e/pato-con-salsa-de-frutos.jpg
Exotic Birds Restaurant,,,,,,5.0,"Calle Comerc, 2; piso 1938",Spain,Catalonia,"{'latitude': '41.38954', 'longitude': '2.18125'}",
La Carballeda,,,,,,4.5,calle Villarroel 26,Spain,Catalonia,"{'latitude': '41.38164', 'longitude': '2.16165'}",https://media-cdn.tripadvisor.com/media/photo-o/15/5c/00/c0/photo0jpg.jpg
Eclipse,"Seating, Serves Alcohol, Full Bar, Reservations, Table Service, ","Bar, Contemporary, ","Late Night, Drinks, ",,,4.0,Placa de la Rosa del Vents 1,Spain,Catalonia,"{'latitude': '41.368523', 'longitude': '2.190011'}",https://media-cdn.tripadvisor.com/media/photo-o/15/20/da/04/photo1jpg.jpg
Jai-Ca,"Takeout, Television, Highchairs Available, Free Wifi, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Wine and Beer, ","Bar, Seafood, Mediterranean, European, Spanish, Catalan, ","Lunch, Dinner, Late Night, ","Vegetarian Friendly, ","Abierto el uno de Julio del 1955, este a",4.0,"Calle Ginebra, 12 Ginebra 13 y Ginebra 7-9",Spain,Catalonia,"{'latitude': '41.381535', 'longitude': '2.18795'}",https://media-cdn.tripadvisor.com/media/photo-o/16/36/a6/8b/pulpo-a-la-gallega.jpg
9 Nine,"Reservations, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, ","Steakhouse, International, Mediterranean, European, Spanish, Catalan, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",Wkh3X19TRm8,4.5,Carrer Valencia 334,Spain,Catalonia,"{'latitude': '41.396343', 'longitude': '2.168369'}",https://media-cdn.tripadvisor.com/media/photo-o/0a/bd/fa/32/cartel-entrada-restaurante.jpg
Meson del Cafe 1909,"Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Wine and Beer, ","Cafe, ","Drinks, ",,,3.5,Carrer de la Llibreteria 16,Spain,Catalonia,"{'latitude': '41.38331', 'longitude': '2.177511'}",https://media-cdn.tripadvisor.com/media/photo-o/0b/0d/55/7b/the-various-drinks-on.jpg
Fast Kibuka,"Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Delivery, Takeout, Accepts Credit Cards, ","Japanese, Fast Food, Sushi, Asian, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, ",,4.0,"Street Torrent de l'Olla, 23",Spain,Catalonia,"{'latitude': '41.39938', 'longitude': '2.16027'}",https://media-cdn.tripadvisor.com/media/photo-o/06/c4/32/85/fast-kibuka.jpg
La Chimney,"Television, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, ","Spanish, Healthy, Bar, Mediterranean, European, Pub, ","Breakfast, Late Night, Drinks, Lunch, Dinner, ",,"New management, with a new team",3.5,"Carrer de la Selva de Mar, 11 Corner with Ramon Turro",Spain,Catalonia,"{'latitude': '41.406456', 'longitude': '2.211851'}",https://media-cdn.tripadvisor.com/media/photo-o/11/c5/9c/c8/la-barra-con-un-poco.jpg
L'Escamarla Restaurant,"Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Reservations, Outdoor Seating, Seating, Highchairs Available, Wine and Beer, Accepts Credit Cards, Table Service, Waterfront, Gift Cards Available, ","Spanish, Seafood, Mediterranean, European, Catalan, ","Breakfast, Drinks, Lunch, Dinner, Late Night, ","Vegetarian Friendly, ",NktiX19LTXc,3.0,"Passeig Maritim, 40 Platja del Bogatell",Spain,Catalonia,"{'latitude': '41.392506', 'longitude': '2.204651'}",https://media-cdn.tripadvisor.com/media/photo-o/09/e3/94/3b/paella.jpg
La Bodegueta de Sants,,"Mediterranean, ",,,Tipica Bodega con servicio de comidas y bebidas con especialidades de todo tipo de tapas mar y monta,5.0,Calle Sagunto 49,Spain,Catalonia,"{'latitude': '41.37099', 'longitude': '2.13442'}",https://media-cdn.tripadvisor.com/media/photo-o/11/d9/17/72/innovaciones-en-la-bodegueta.jpg
Smart Bar BCN,"Takeout, Outdoor Seating, Seating, Television, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, ","Spanish, ","Brunch, Drinks, ",,,4.0,Av. Meridiana 116-120 Local 3,Spain,Catalonia,"{'latitude': '41.40833', 'longitude': '2.187134'}",https://media-cdn.tripadvisor.com/media/photo-o/11/12/33/5c/terraza-sm-rt-bar.jpg
L'Angolo Italiano,"Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, ","Italian, ",,"Vegetarian Friendly, ",,3.0,"Avenida Diagonal, 557 L'Illa Diagonal",Spain,Catalonia,"{'latitude': '41.389343', 'longitude': '2.134876'}",https://media-cdn.tripadvisor.com/media/photo-o/18/e3/3e/12/triangulo-relleno-de.jpg
Amrit,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Highchairs Available, ",,"Lunch, Dinner, Late Night, ","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options, ","Ugarit restaurants specialize in Syrian cuisine. With 20 years of experience, the group now has 6 restaurants. The secret of its success is the quality and variety of its dishes, the best market products, an ideal environment and excellent service. Today there are 5 Ugarit Restaurants that you can find in Barcelona. Located in the most emblematic areas of the city, you will find them scattered in the neighbourhoods of Gr",4.0,Verdi 18,Spain,Catalonia,"{'latitude': '41.40352', 'longitude': '2.157271'}",https://media-cdn.tripadvisor.com/media/photo-o/04/61/75/c7/absolute-amazingness.jpg
El Passatge del Murmuri,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, ","Mediterranean, European, Spanish, Fusion, ","Lunch, Dinner, Brunch, Late Night, Drinks, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ","We love Barcelona. We like its sea, its fields, its land. This is why we made a selection of the best seasonal and local-grown products to offer our best dishes with a breath of fresh air.Restaurant 'el Passatge del Murmuri' wishes to introduce its guests to the authentic flavours of Mediterranean cuisine and, in particular, to those of Barcelona's gastronomy.",3.5,Rambla Catalunya 104,Spain,Catalonia,"{'latitude': '41.3941', 'longitude': '2.159528'}",https://media-cdn.tripadvisor.com/media/photo-o/05/5d/98/fe/elpassatge-del-murmuri.jpg
Sopa,"Takeout, Seating, Wheelchair Accessible, Free Wifi, ","International, Healthy, Soups, Mediterranean, ","Breakfast, Lunch, ","Vegetarian Friendly, Vegan Options, ","We serve very tasty vegetarian food in an lighting space with a clean cut deco. Whether is to gather with friends or family for a delicious meal, enjoy a cup of bio coffee while working on your laptop ",4.0,Provenca 330,Spain,Catalonia,"{'latitude': '41.39714', 'longitude': '2.164838'}",https://media-cdn.tripadvisor.com/media/photo-o/11/47/5c/79/interior-del-local-amplio.jpg
Oliver Privee,,"Mediterranean, Greek, ",,,,4.5,Castell de l'Oliver Can Milans S/N,Spain,Catalonia,"{'latitude': '41.36459', 'longitude': '2.16564'}",
Kapadokya,"Takeout, Reservations, Seating, Table Service, ","Turkish, Middle Eastern, Fast Food, ","Lunch, Dinner, ",,dHlEX19zdTI,4.0,"Carrer de la Fusteria, 6-8",Spain,Catalonia,"{'latitude': '41.381184', 'longitude': '2.181008'}",https://media-cdn.tripadvisor.com/media/photo-o/09/2e/83/bc/2015.jpg
Tenda,,,,"Vegetarian Friendly, ",,0.0,C. Villaroel 178,Spain,Catalonia,"{'latitude': '41.39032', 'longitude': '2.15014'}",
Rockata,"Reservations, ","Argentinean, South American, ",,,,5.0,"Carrer del Comerc, 20",Spain,Catalonia,"{'latitude': '41.388645', 'longitude': '2.181217'}",https://media-cdn.tripadvisor.com/media/photo-o/14/67/89/65/img-20180825-223541-largejpg.jpg
Tasta'm,,,"Lunch, Dinner, ",,,3.5,"Rossello, 285",Spain,Catalonia,"{'latitude': '41.39817', 'longitude': '2.16361'}",https://media-cdn.tripadvisor.com/media/photo-o/03/8b/0d/30/tasta-m.jpg
Catamaran,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, ","Mediterranean, Spanish, ","Lunch, Late Night, ",,,3.0,"Ronda Litoral, 44",Spain,Catalonia,"{'latitude': '41.394566', 'longitude': '2.206276'}",https://media-cdn.tripadvisor.com/media/photo-o/09/1f/a4/66/catamaran.jpg
Inevitable Restaurant,,,"Lunch, Dinner, ",,,2.5,"Calle Corcega, ,232",Spain,Catalonia,"{'latitude': '41.38432', 'longitude': '2.143'}",
La Fonda del Port Olimpic,"Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music, ","Seafood, Mediterranean, European, Spanish, Catalan, ","Lunch, Dinner, Brunch, Late Night, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",dVZEX19KU1E,4.0,"Moll de Gregal, 7-10",Spain,Catalonia,"{'latitude': '41.388645', 'longitude': '2.200637'}",https://media-cdn.tripadvisor.com/media/photo-o/1b/62/a9/db/la-fonda-del-port-olimpic.jpg
DesTapa'T,"Reservations, Serves Alcohol, Table Service, Seating, ","Spanish, ",,,,4.5,"Calle Chapi, 56",Spain,Catalonia,"{'latitude': '41.431633', 'longitude': '2.160278'}",https://media-cdn.tripadvisor.com/media/photo-o/0d/5c/bc/4b/img-20161020-wa0002-largejpg.jpg
Palacio De China,"Takeout, Wheelchair Accessible, Table Service, Delivery, Reservations, Seating, ","Chinese, Asian, ",,,,3.0,"Carrer De La Marina, 87",Spain,Catalonia,"{'latitude': '41.39338', 'longitude': '2.18832'}",https://media-cdn.tripadvisor.com/media/photo-o/0d/ee/4d/1a/the-staff-were-so-friendly.jpg
McDonald's,"Takeout, Wheelchair Accessible, Seating, ","Fast Food, ","Brunch, ",,,3.5,"Carrer de Provenca, 427",Spain,Catalonia,"{'latitude': '41.40384', 'longitude': '2.17345'}",https://media-cdn.tripadvisor.com/media/photo-o/09/89/54/d8/barcelona.jpg
Meson Can Meli,"Seating, Serves Alcohol, Table Service, Reservations, Television, ","Spanish, ","Lunch, Dinner, Brunch, Breakfast, ",,Cerca del metro de Fabra i Puig o Virrey Amat,4.5,Carrer Arnau d'Oms 45,Spain,Catalonia,"{'latitude': '41.430805', 'longitude': '2.177235'}",https://media-cdn.tripadvisor.com/media/photo-o/11/fc/ea/67/photo1jpg.jpg
Restaurante Pousada Caballito Blanco,,,"Lunch, ",,,3.5,"Larrard, 30",Spain,Catalonia,"{'latitude': '41.41182', 'longitude': '2.15472'}",https://media-cdn.tripadvisor.com/media/photo-o/0e/9c/73/ad/caption.jpg
L'Eggs - CLOSED,"Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Gift Cards Available, ","International, Fusion, ","Drinks, Lunch, Dinner, ",,,0.0,"Passeig de Gracia, 116 08008 Barcelona",Spain,Catalonia,"{'latitude': '41.39709', 'longitude': '2.159088'}",https://media-cdn.tripadvisor.com/media/photo-o/19/23/b2/0a/l-eggs-by-paco-perez.jpg
Mediamanga,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Table Service, Full Bar, ","Mediterranean, European, Spanish, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",The MICHELIN Plate,4.5,"Aribau, 13",Spain,Catalonia,"{'latitude': '41.386425', 'longitude': '2.161893'}",https://media-cdn.tripadvisor.com/media/photo-o/14/83/49/2a/photo5jpg.jpg
pizzeria Vecchia Italia,,"Italian, American, Pizza, Fast Food, ",,,,4.5,Carrer Mossen Amadeu Oller 36,Spain,Catalonia,"{'latitude': '41.36946', 'longitude': '2.13786'}",
Namaskar Nepal,"Reservations, Seating, Table Service, Delivery, ","Nepali, ","Lunch, Dinner, ",,,3.5,"C/ Hipolito Lazaro, 34",Spain,Catalonia,"{'latitude': '41.40734', 'longitude': '2.1637'}",https://media-cdn.tripadvisor.com/media/photo-o/07/96/8c/98/verdura-frita.jpg
Patachou - CLOSED,,"French, Street Food, ","Breakfast, Drinks, ",,Patachou is a pastry shop ,0.0,"Roger de Lluria, 114 2 minutes walking from La Pedrera",Spain,Catalonia,"{'latitude': '41.396503', 'longitude': '2.16452'}",https://media-cdn.tripadvisor.com/media/photo-o/14/07/95/f3/home-made-pastries.jpg
Bar Marcel Santalo,"Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Outdoor Seating, Seating, Television, Serves Alcohol, Accepts Credit Cards, Table Service, ","Spanish, Bar, Mediterranean, Pub, ","Brunch, Lunch, Dinner, Breakfast, ",,,3.5,Carrer de Santalo 42,Spain,Catalonia,"{'latitude': '41.395966', 'longitude': '2.145494'}",https://media-cdn.tripadvisor.com/media/photo-o/1a/4f/e8/de/20191213-202115-largejpg.jpg
do Bar,"Reservations, ","Spanish, Mediterranean, ",,,At DO BAR our priority is to offer excellent quality tapas and ,5.0,"Santalo, 30 / Avenir",Spain,Catalonia,"{'latitude': '41.39635', 'longitude': '2.14762'}",https://media-cdn.tripadvisor.com/media/photo-o/05/b1/b4/06/getlstd-property-photo.jpg
Tutto Pizza,,,,,,3.5,"Passeig Sant Joan, 74",Spain,Catalonia,"{'latitude': '41.39717', 'longitude': '2.17293'}",
Konig Barcelona Centro,"Takeout, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, ","Bar, Mediterranean, European, Spanish, ","Breakfast, Lunch, Dinner, Brunch, Late Night, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",Located in Barcelona ,4.0,"Rambla Catalunya, 5 Nº5",Spain,Catalonia,"{'latitude': '41.387768', 'longitude': '2.16793'}",https://media-cdn.tripadvisor.com/media/photo-o/0e/b7/3d/df/konig-barcelona-centro.jpg
Bistro Helena,"Reservations, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Gift Cards Available, Private Dining, Accepts Credit Cards, Table Service, ","Mediterranean, Catalan, ","Lunch, Dinner, Brunch, Late Night, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",MzN2X19ZN24,4.5,"Via Laietana, 30",Spain,Catalonia,"{'latitude': '41.384968', 'longitude': '2.177634'}",https://media-cdn.tripadvisor.com/media/photo-o/16/88/a4/b9/comedor-interior.jpg
Mr Robinson Barcelona,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Table Service, Free Wifi, ","Bar, European, ","Lunch, Dinner, Brunch, Breakfast, ","Vegan Options, Vegetarian Friendly, ",Nuestra carta te transportar,4.0,"Pla de Palau, 16",Spain,Catalonia,"{'latitude': '41.38285', 'longitude': '2.184158'}",https://media-cdn.tripadvisor.com/media/photo-o/18/f1/47/38/20190825-152901-largejpg.jpg
El Rincon De Galicia,"Reservations, Seating, Table Service, ","Spanish, Asian, ","Dinner, ",,,3.0,"Calle Sardenya ,48",Spain,Catalonia,"{'latitude': '41.390823', 'longitude': '2.190157'}",https://media-cdn.tripadvisor.com/media/photo-o/0f/9f/e6/9b/rincon-de-galicia.jpg
Clemen' s Boqueria,"Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, ","Catalan, ","Brunch, ","Vegetarian Friendly, Gluten Free Options, ",,4.5,"Las Ramblas 89 Mercado Boqueria, Puesto 916-917-918-919",Spain,Catalonia,"{'latitude': '41.381485', 'longitude': '2.171576'}",https://media-cdn.tripadvisor.com/media/photo-o/18/49/93/1d/clemen-s-boqueria.jpg
La Lluna de Mel,"Takeout, Wheelchair Accessible, Seating, ","Cafe, Spanish, ","Breakfast, Brunch, ","Vegetarian Friendly, Vegan Options, ",,5.0,Energia 34,Spain,Catalonia,"{'latitude': '41.360317', 'longitude': '2.135011'}",https://media-cdn.tripadvisor.com/media/photo-o/0d/14/db/d4/photo0jpg.jpg
Misaki,"Reservations, Seating, Serves Alcohol, Table Service, ","Japanese, Sushi, Asian, ","Lunch, Dinner, ",,,3.5,"Carrer Aribau, 40",Spain,Catalonia,"{'latitude': '41.38759', 'longitude': '2.16055'}",https://media-cdn.tripadvisor.com/media/photo-o/06/3b/d7/91/pescado-frito.jpg
Bar Restaurante Lepanto,"Reservations, Table Service, Seating, ","Mediterranean, Spanish, ","Breakfast, Dinner, ","Vegetarian Friendly, ",,4.5,Carrer de Lepant 293,Spain,Catalonia,"{'latitude': '41.405457', 'longitude': '2.174876'}",https://media-cdn.tripadvisor.com/media/photo-o/08/dd/7d/e1/bar-restaurant-lepanto.jpg
La Principal - CLOSED,,,,,,0.0,"Calle Muntaner, 178",Spain,Catalonia,"{'latitude': '41.3921', 'longitude': '2.15232'}",https://media-cdn.tripadvisor.com/media/photo-o/15/44/e2/a7/great-bar.jpg
Restaurante El Foro,"Takeout, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service, Live Music, ","Mediterranean, Steakhouse, European, Spanish, Argentinean, ","Lunch, Dinner, Late Night, Drinks, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ","The restaurant has the appearance of a French bistro, the ambience and decoration are part of its charm, but above all, what makes it special and what explains the resounding success is that it is an Argentine restaurant in Barcelona, that offers quality ",4.0,Carrer Princesa N0 53,Spain,Catalonia,"{'latitude': '41.386845', 'longitude': '2.182165'}",https://media-cdn.tripadvisor.com/media/photo-o/06/5f/6f/de/milanesa-a-la-napolitana.jpg
